Peptide_Index	prediction_probability	prediction_label
841	0.52343315	1
842	0.54594266	1
843	0.516678	1
844	0.5035957	1
845	0.58080184	1
847	0.5783564	1
848	0.5023528	1
850	0.5697104	1
851	0.5320108	1
852	0.52101475	1
853	0.50357056	1
854	0.5102567	1
857	0.5194714	1
858	0.5056047	1
859	0.5182185	1
860	0.51366794	1
861	0.5263087	1
862	0.50679195	1
863	0.50943893	1
864	0.50955033	1
865	0.5897266	1
866	0.5210657	1
867	0.60518324	1
868	0.5223384	1
869	0.58274764	1
871	0.530215	1
872	0.5394054	1
874	0.5222037	1
875	0.50615287	1
876	0.5108487	1
877	0.5197206	1
878	0.5095044	1
879	0.5314465	1
880	0.54191834	1
881	0.52939904	1
882	0.5144767	1
884	0.6098903	1
885	0.51249546	1
886	0.5408826	1
887	0.51040864	1
888	0.5268145	1
889	0.51716673	1
890	0.51869947	1
891	0.5365945	1
892	0.51597077	1
893	0.5126594	1
894	0.5544441	1
895	0.51924753	1
896	0.57973087	1
897	0.52032423	1
898	0.52975965	1
899	0.52067274	1
900	0.5533624	1
902	0.52975965	1
903	0.52101475	1
904	0.5215831	1
905	0.58274764	1
906	0.5235869	1
908	0.5399205	1
909	0.52534014	1
910	0.52410454	1
912	0.5310665	1
913	0.50816995	1
914	0.5285816	1
915	0.51977354	1
916	0.50213665	1
917	0.52362126	1
918	0.5056047	1
919	0.52975965	1
920	0.58274764	1
921	0.5107195	1
922	0.520173	1
923	0.5070809	1
924	0.5648372	1
926	0.54579204	1
927	0.5130645	1
928	0.5148323	1
929	0.51190996	1
930	0.6911529	1
931	0.6929601	1
932	0.69835323	1
933	0.5055325	1
934	0.57522243	1
935	0.5097774	1
936	0.5334874	1
937	0.6031576	1
938	0.5394054	1
940	0.5288019	1
941	0.5886224	1
942	0.53248984	1
943	0.53248984	1
945	0.5366505	1
946	0.665896	1
947	0.5137337	1
948	0.58892834	1
949	0.5579965	1
950	0.52733564	1
951	0.52101475	1
952	0.5085072	1
953	0.5337154	1
955	0.50663346	1
956	0.6626355	1
957	0.52930045	1
959	0.507301	1
960	0.5300222	1
961	0.5194237	1
963	0.51656574	1
964	0.52589554	1
965	0.56060356	1
966	0.6242608	1
968	0.51493067	1
969	0.69154817	1
970	0.58534294	1
972	0.5229452	1
973	0.53502816	1
974	0.5027196	1
976	0.60831594	1
978	0.52101475	1
979	0.53211236	1
980	0.5206994	1
982	0.52443576	1
983	0.52101475	1
984	0.539493	1
985	0.53742194	1
986	0.54221755	1
987	0.5073307	1
988	0.5204797	1
989	0.52474844	1
990	0.50097734	1
991	0.520205	1
992	0.5194714	1
993	0.51532084	1
994	0.5710153	1
995	0.5440911	1
996	0.53482604	1
997	0.53359187	1
998	0.5010595	1
999	0.52037746	1
1001	0.5276438	1
1002	0.5332774	1
1003	0.5220626	1
1004	0.51927626	1
1005	0.52121806	1
1006	0.5147153	1
1009	0.51924753	1
1010	0.5391937	1
1011	0.5238334	1
1012	0.5370207	1
1013	0.5232566	1
1014	0.52101475	1
1015	0.51291686	1
1016	0.6168262	1
1017	0.5162188	1
1018	0.522037	1
1019	0.5474165	1
1020	0.50678974	1
1021	0.50569314	1
1022	0.52876437	1
1023	0.57973087	1
1024	0.54487777	1
1025	0.5335382	1
1026	0.5105201	1
1028	0.53239304	1
1029	0.5292275	1
1030	0.5249703	1
1031	0.532229	1
1032	0.5181472	1
1033	0.51625884	1
1034	0.51977354	1
1035	0.5257754	1
1036	0.5780482	1
1038	0.5284832	1
1039	0.52683103	1
1040	0.5145355	1
1041	0.53350496	1
1043	0.581655	1
1044	0.5295528	1
1046	0.5165129	1
1047	0.6899441	1
1048	0.52930045	1
1049	0.68967366	1
1050	0.5880977	1
1051	0.52338105	1
1052	0.5273191	1
1053	0.689487	1
1055	0.51678795	1
1056	0.5628865	1
1057	0.59970975	1
1058	0.5219314	1
1059	0.58274764	1
1060	0.5206462	1
1061	0.51716673	1
1062	0.52396274	1
1065	0.5117735	1
1066	0.539493	1
1068	0.52480537	1
1069	0.5252789	1
1070	0.520831	1
1071	0.5238139	1
1072	0.53419656	1
1073	0.51716673	1
1074	0.5308196	1
1075	0.60642767	1
1076	0.591342	1
1077	0.6665155	1
1078	0.50168824	1
1079	0.5062114	1
1080	0.5233017	1
1081	0.52876437	1
1082	0.53166896	1
1083	0.6098903	1
1084	0.5262589	1
1085	0.5345629	1
1087	0.5079301	1
1088	0.5315951	1
1090	0.69720185	1
1091	0.5277596	1
1092	0.52975965	1
1093	0.5195078	1
1094	0.5362102	1
1096	0.5210657	1
1097	0.5736178	1
1099	0.5114441	1
1100	0.5271763	1
1101	0.5236703	1
1102	0.5233086	1
1103	0.52667093	1
1104	0.5203049	1
1106	0.53612834	1
1107	0.5127989	1
1108	0.5294582	1
1109	0.5228884	1
1110	0.68787766	1
1111	0.53443205	1
1112	0.520831	1
1113	0.51491433	1
1114	0.52876437	1
1116	0.5229254	1
1117	0.59741306	1
1118	0.5256627	1
1119	0.52436835	1
1120	0.5642202	1
1122	0.5349349	1
1123	0.5220626	1
1125	0.5196712	1
1126	0.69185287	1
1127	0.5139082	1
1129	0.53190774	1
1130	0.6825707	1
1131	0.52957624	1
1132	0.6000266	1
1133	0.53204453	1
1134	0.51533157	1
1135	0.520205	1
1136	0.5282866	1
1137	0.5124835	1
1139	0.5225732	1
1140	0.5311282	1
1141	0.51695275	1
1142	0.61398256	1
1143	0.6147959	1
1144	0.5280567	1
1145	0.6078069	1
1146	0.5189321	1
1147	0.52161676	1
1148	0.51866287	1
1149	0.510634	1
1150	0.53967726	1
1151	0.5019846	1
1152	0.50354886	1
1154	0.5170062	1
1155	0.60521483	1
1156	0.5139082	1
1157	0.5123217	1
1158	0.51149124	1
1159	0.5030115	1
1162	0.5225168	1
1163	0.5782094	1
1164	0.5175544	1
1165	0.52434665	1
1166	0.52136403	1
1168	0.52101475	1
1169	0.5074985	1
1170	0.5198959	1
1171	0.5283624	1
1172	0.5284217	1
1173	0.5153237	1
1174	0.52101475	1
1175	0.53824496	1
1176	0.59347135	1
1177	0.6981614	1
1179	0.5504274	1
1180	0.528328	1
1181	0.5213992	1
1183	0.5192804	1
1184	0.5190981	1
1185	0.54910046	1
1186	0.50791466	1
1187	0.57464635	1
1188	0.5272647	1
1189	0.53731257	1
1190	0.51233935	1
1191	0.5286405	1
1192	0.57442164	1
1193	0.6102802	1
1196	0.5467331	1
1198	0.52876437	1
1199	0.52353406	1
1201	0.54015994	1
1202	0.53204453	1
1205	0.5133061	1
1206	0.5460787	1
1207	0.5063095	1
1209	0.54051536	1
1210	0.5014527	1
1211	0.5073118	1
1212	0.5254988	1
1214	0.5151188	1
1215	0.53166896	1
1217	0.5228884	1
1218	0.53786993	1
1220	0.5785328	1
1221	0.52876437	1
1222	0.52101254	1
1223	0.52736825	1
1224	0.5960066	1
1225	0.6098903	1
1227	0.5271875	1
1228	0.5241611	1
1230	0.5218231	1
1231	0.53153265	1
1232	0.51101214	1
1233	0.5130279	1
1234	0.6261438	1
1235	0.5272603	1
1236	0.6098903	1
1237	0.5328747	1
1238	0.5210259	1
1239	0.52736825	1
1240	0.52876437	1
1241	0.5117367	1
1242	0.53021634	1
1243	0.5225168	1
1245	0.5205543	1
1246	0.51977354	1
1247	0.53137213	1
1249	0.54292226	1
1250	0.52975965	1
1252	0.5112505	1
1253	0.52762765	1
1255	0.6962623	1
1256	0.51945806	1
1257	0.5174515	1
1259	0.5015474	1
1260	0.5165846	1
1261	0.53723955	1
1262	0.52536494	1
1263	0.5070012	1
1265	0.54011065	1
1266	0.53643286	1
1267	0.51128024	1
1269	0.50356174	1
1270	0.5158316	1
1271	0.51977354	1
1272	0.50067556	1
1273	0.52553755	1
1274	0.54495037	1
1275	0.51657754	1
1276	0.5075977	1
1278	0.53174025	1
1279	0.5256221	1
1280	0.5275559	1
1281	0.5266662	1
1282	0.5039518	1
1283	0.51084584	1
1284	0.5230935	1
1285	0.57684326	1
1286	0.5525599	1
1287	0.6063599	1
1288	0.581905	1
1289	0.5040217	1
1290	0.52164763	1
1291	0.5859455	1
1292	0.5391059	1
1293	0.5822281	1
1294	0.51843154	1
1295	0.5271296	1
1296	0.50731516	1
1297	0.59734124	1
1298	0.58129483	1
1299	0.5137062	1
1300	0.5197455	1
1301	0.52101475	1
1302	0.5285816	1
1303	0.5088071	1
1304	0.60703343	1
1305	0.5195932	1
1306	0.52101475	1
1307	0.6098903	1
1309	0.61640537	1
1310	0.52118456	1
1311	0.55224574	1
1312	0.53692	1
1313	0.53692	1
1314	0.51242834	1
1315	0.5213719	1
1316	0.5277733	1
1317	0.59126645	1
1318	0.525675	1
1319	0.5028528	1
1320	0.5309761	1
1322	0.52975965	1
1323	0.60559136	1
1324	0.59080416	1
1325	0.5114371	1
1326	0.52527314	1
1327	0.68189573	1
1328	0.52101475	1
1329	0.60574925	1
1330	0.5204351	1
1331	0.5081578	1
1332	0.5384509	1
1333	0.5394565	1
1335	0.5056047	1
1336	0.5299573	1
1337	0.5210309	1
1338	0.53239304	1
1339	0.52176774	1
1340	0.55596775	1
1341	0.520205	1
1343	0.62155133	1
1344	0.51804024	1
1345	0.50114954	1
1348	0.521102	1
1349	0.52005744	1
1350	0.53291845	1
1351	0.520205	1
1352	0.59022546	1
1353	0.5016078	1
1354	0.52816826	1
1355	0.507988	1
1356	0.51360565	1
1357	0.5321396	1
1358	0.5240735	1
1359	0.5823907	1
1360	0.6093819	1
1361	0.5056047	1
1362	0.5241935	1
1363	0.5205543	1
1364	0.5151093	1
1365	0.51977354	1
1366	0.5281724	1
1367	0.6885278	1
1368	0.5999266	1
1369	0.60113424	1
1370	0.5281122	1
1372	0.520248	1
1373	0.52110523	1
1374	0.5115072	1
1375	0.5012775	1
1376	0.5356367	1
1377	0.51472324	1
1378	0.5087323	1
1379	0.52154595	1
1380	0.6098903	1
1381	0.5008822	1
1382	0.6230445	1
1383	0.5148098	1
1384	0.52930045	1
1385	0.5126717	1
1386	0.52242625	1
1387	0.5148723	1
1388	0.5294449	1
1389	0.6899441	1
1390	0.5083954	1
1391	0.6899441	1
1394	0.5274237	1
1395	0.50114954	1
1396	0.60906565	1
1397	0.5244492	1
1399	0.50683844	1
1400	0.5246179	1
1401	0.52975965	1
1402	0.5766004	1
1403	0.529842	1
1404	0.5254299	1
1405	0.54364115	1
1406	0.51812285	1
1407	0.5008822	1
1408	0.6098903	1
1409	0.5007101	1
1410	0.5239969	1
1411	0.5225168	1
1412	0.52342236	1
1413	0.520205	1
1414	0.5117969	1
1415	0.5193564	1
1416	0.53779763	1
1417	0.6826681	1
1418	0.5295671	1
1419	0.5274446	1
1422	0.5280136	1
1423	0.51702803	1
1424	0.5216597	1
1425	0.5027977	1
1426	0.5696944	1
1427	0.5135822	1
1428	0.51588494	1
1429	0.520205	1
1430	0.5193644	1
1431	0.5433102	1
1432	0.5229084	1
1433	0.52978766	1
1434	0.53379637	1
1437	0.5271524	1
1438	0.5143127	1
1439	0.52876437	1
1440	0.5687227	1
1441	0.6098903	1
1443	0.534544	1
1445	0.52118534	1
1446	0.5845724	1
1447	0.5249499	1
1448	0.5315379	1
1450	0.5288683	1
1451	0.51343334	1
1452	0.51973385	1
1455	0.51977354	1
1456	0.5284832	1
1457	0.5056047	1
1458	0.5111324	1
1459	0.5165129	1
1460	0.52876437	1
1461	0.5193644	1
1462	0.520205	1
1463	0.6846931	1
1464	0.5194714	1
1465	0.5291131	1
1467	0.52913576	1
1468	0.50606644	1
1469	0.51733136	1
1470	0.51452005	1
1472	0.53166896	1
1473	0.5210339	1
1474	0.5148323	1
1475	0.5139368	1
1476	0.51197106	1
1479	0.5276198	1
1480	0.5219871	1
1481	0.52169806	1
1482	0.51716673	1
1484	0.5329729	1
1485	0.51480365	1
1486	0.5356575	1
1487	0.5108093	1
1488	0.53363204	1
1489	0.51543593	1
1490	0.51926863	1
1491	0.51935667	1
1492	0.50731516	1
1493	0.5089809	1
1494	0.53212106	1
1495	0.5818711	1
1496	0.52875876	1
1497	0.54030776	1
1498	0.5656779	1
1499	0.5043425	1
1501	0.55118114	1
1502	0.52087	1
1503	0.51232487	1
1504	0.6098903	1
1505	0.53968334	1
1506	0.5203328	1
1507	0.5290654	1
1508	0.52242625	1
1509	0.52101475	1
1510	0.53204453	1
1511	0.51693755	1
1512	0.5288846	1
1513	0.5210657	1
1515	0.52101475	1
1516	0.535055	1
1517	0.57439065	1
1519	0.52101475	1
1520	0.58274764	1
1521	0.5100593	1
1523	0.5603867	1
1524	0.52161676	1
1526	0.57514584	1
1528	0.55942893	1
1529	0.5736178	1
1530	0.5207628	1
1531	0.6284976	1
1532	0.5225168	1
1533	0.5228822	1
1534	0.5249714	1
1535	0.68228996	1
1536	0.53209305	1
1537	0.5114441	1
1538	0.5188549	1
1539	0.52527136	1
1540	0.69784796	1
1541	0.5182888	1
1542	0.54395956	1
1543	0.50372803	1
1544	0.52939904	1
1545	0.5413648	1
1546	0.51657754	1
1547	0.5155287	1
1548	0.52736855	1
1549	0.5322321	1
1550	0.5314983	1
1552	0.5163358	1
1553	0.5052888	1
1555	0.54944617	1
1557	0.5336047	1
1558	0.520205	1
1559	0.5135137	1
1560	0.5056047	1
1561	0.5223618	1
1562	0.53940797	1
1564	0.6069374	1
1567	0.61244655	1
1568	0.5352895	1
1569	0.5016933	1
